Garut;Jl Jendral Sudirman 33 RT 01/ RW 02, Kel Sucikaler , Kec Karangpawitan , Kotamadya : garut;-7,2062121;107,9166128
Karawang;JL. PROKLAMASI KM 3,5 TUNGGAK JATI, KARAWANG BARAT;-6,249273;107,279747
Bandung Selatan;Jl. Caringin No.296 RT. 002 RW.009 Kelurahan Babakan Kecamatan Babakan Ciparay;-6,940328;107,570236
Cikarang;JL. ROTAN II BLOK F27 NO.33A-33B DELTA SILICON III LIPPO CIKARANG CICAU,CIKARANG PUSAT;-6,373485;107,157687
Tegal;Jl. Raya Tegal - Pemalang KM. 5, RT.002/RW.002, Larangan, Desa, Munjungagung, Kec. Kramat;-6,8647817;109,1859488
Purwokerto;Jalan Menteri Supeno RT.04/RW.01, Desa Karangnanas, Kec.Sokaraja, Kabupaten Banyumas. Sebelah SPBU Candimas Karangnanas;-7,392370224;109,2429962
Pekalongan;Jl. Urip Sumoharjo No. 30 Tegalsari Kandeman, Kec. Tulis, Kab. Batang;-6,889840126;109,6750031
Purworejo;Jl. Sampoerna No. 14, RT. 02, RW. 01, Ds. Pekutan, Bayan, Putoarjo;-7,7412691;109,9975526
Semarang Barat;Kawasan Industri Candi Gatot Subroto Blok 18 No. 3, Ngaliyan;-7,0110982;110,3529321
Magelang;Jl. Magelang - Purworejo KM. 12, RT. 03, RW.10, desa Tanggulrejo, Kelurahan Tanggulrejo, Kecamatan Tempuran, Kota Magelang;-7,556633;110,1571283
Kudus;Jl. Raya Kudus - Pati KM 7 Kel. Tenggeles Kec. Mejobo;-6,8058872;110,8919011
Solo;Jl. Adi Sumarmo No. 274-276, RT. 02/RW.09, Kel. Banyu Anyar, Banjarsari;-7,5709315;110,8774375
Sukoharjo;Jl. Sidoluhur RT/RW: 5/15 Cemani (Pergud. Wariginrejo), Cemani - Grogol;-7,58299017;110,8059998
Blora;Jl. Nasional Blora - Cepu KM 3.5 (Sebelah Timur Terminal Gagak Rimang Kel. Bangkle, Kec. Blora, Kab. Blora;-6,971719128;111,4433663
Semarang Timur;Garasi KM 13,5. Kel Batu. DK Batukidul Ex PSLS 29/ Ds. Batu Kec Karang Tengah, Kab Demak, Prov Jawa Tengah;-6,931253;110,548362
Yogyakarta Barat;Jl. Ring Road Barat, Jadan, Kasihan;-7,8206923;110,3242832
Yogyakarta Timur;JL. RINGROAD TIMUR PRANTI DK JOMBLANGAN RT.000 RW.000 BANGUNTAPAN, BANGUNTAPAN, KAB. BANTUL;-7,807769;110,408728
Tuban;JL. Prof Dr. KH Fatkhurrahman Kafrawi RT. 01 RW.01 Bogorejo, Merakurak - TUBAN (SEBELAH TIMUR SPBU BOGOREJO);-6,899499893;112,0459976
Madiun;Jl. Raya Madiun - Surabaya KM. 164, Dusun Bagi, Kelurahan Madiun, Kecamatan Madiun ;-7,563646;111,5491591
Surabaya Timur;Jl. Margomulyo 44, Komplek Pergudangan Suri Mulia Kav. 19-21, Sukomanunggal;-7,2398015;112,6923662
Sidoarjo;Jl Raya Lingkar Timur 8A, Wadungasih, Buduran, Sidoarjo, Jawa Timur   ;-7,40598011;112,5680008
Kediri;Jl. Raya Kediri Tulung Agung KM 16, Dsn. Purwodadi, Purwodadi - Kras;-7,9439853;111,9646848
Malang;Jl. Raya Surabaya Malang KM. 77, Singosari Malang (Dalam Komplek Pabrik KTG);-7,966619968;112,6330032
Probolinggo;Jl. Raya Dringu, Dn Bukolan, Ds Tamansari RT 3 / RW 5, Kec Dringu, ( Depan seberang 100 m Kantor DPD Golkar );-7,774479866;113,2610016
Jember;Jl. Wolter Monginsidi 97,RT/RW : 1/2, Keranjingan - Sumbersari;-8,252189636;113,5790024
Banyuwangi;Jl. Raya Situbondo 47  Desa Ketapang , Kecamatan Kalipuro Banyuwangi - Jawa Timur;-8,1299647;114,398345
